text_name,text
fDOM,"fDOM stands for fluorescent dissolved organic matter. Characteristics of fDOM are: 1) substances that are derived from living things (like tree leaves or phytoplankton) and contain carbon; 2) these substances are not particles, but are dissolved in the water; 3) if light is transmitted through the water, these substances will emit their own light in response through the process of fluorescence. One everyday example of dissolved organic matter is the coffee compounds that dissolve from the coffee grounds into the water and turn the coffee brown."
fDOM_measure,fDOM is measured using sensors that transmit light at a particular wavelength through the water and then measure how much light is emitted from the fluorescent organic matter compounds in return.
fDOM_DBPs,"Because it is a form of organic matter, the presence of fDOM can also indicate that DBP precursors are present. Thus, higher fDOM may mean an increased risk of DBP formation during the treatment process."
turb,"Turbidity is a measure of water clarity. Increases in turbidity may be caused by the presence of any of the following substances in water: silt and clay, microorganisms, or substances dissolved in the water, such as organic matter."
turb_measure,"Turbidity can be measured using high-frequency sensors. These sensors shine a light into the water and then measure how much of the light is scattered by particles and dissolved substances in the water. The more light is scattered, the higher the turbidity. In our data today, turbidity is measured in Formazin Nephelometric Units (FNU); ""formazin nephelometric"" just describes the type of light that is being used to measure turbidity."
turb_dbps,High turbidity can indicate the presence of both organic and inorganic molecules that may form DBPs during treatment.
turb_treat,"The level of turbidity in the raw water that is considered a potential water quality concern depends on a number of factors, including the available treatment processes in the plant, how much coagulant you can feed, and detention time."
mod_takehome_2,"There are a number of environmental and water treatment processes that influence the formation of disinfection byproducts. Organic and inorganic compounds in the water, which can be naturally-occuring or occur as a result of human activities, can act as DBP precursors that form DBPs during water treatment. Two examples of DBP precursors are organic matter exuded by phytoplankton and nitrate introduced by humans using agricultural fertilizer. Use of chlorine as a disinfectant during water treatment can lead to the formation of DBPs."
mod_takehome_3,"Operators must balance the dual goals of ensuring complete disinfection of drinking water and avoiding DBP formation. In order to do this, operators should ensure that water is chlorinated to breakpoint, use additional treatment steps (increased coagulation, activated carbon filters, membrane technology) to remove DBP precursors prior to disinfection, and keep treated water under the EPA MRDL for free chlorine residual."
mod_takehome_4,"Raw water quality data may be useful to help operators make decisions about the risk of DBP formation in a treatment plant. fDOM can be used as a proxy for TOC to indicate the presence of potential DBP precursors. As a result, high fDOM values may lead to increased DBP formation risk. While the relationship between fDOM and DBPs will vary for each waterbody, operators may use high-frequency environmental data to inform their thinking about DBP formation risk."
